Date;Producto ;Cantidad;Cantidad_prom;Precio;Total_Venta;Kilometraje
31/08/2019;Diesel;7378,21;16,64;8898,27;65606882,00;108177,64
01/09/2019;Diesel;645,48;33,97;8935,05;5851859,00;232678,26
02/09/2019;Diesel;3354,98;16,24;8895,10;29872291,00;99520,19
03/09/2019;Diesel;3542,20;15,41;8845,82;31333777,00;110772,14
04/09/2019;Diesel;3238,95;14,64;8874,68;28718158,00;103489,77
05/09/2019;Diesel;4020,92;17,60;8856,89;35548558,00;114346,69
06/09/2019;Diesel;3592,33;15,82;8871,60;31831502,00;278282,91
07/09/2019;Diesel;3389,63;15,39;8866,18;30078059,00;114038,27
08/09/2019;Diesel;725,80;34,56;8916,48;6497961,00;151811,48
09/09/2019;Diesel;3037,41;15,35;8861,12;26908359,00;106133,71
10/09/2019;Diesel;4534,48;16,94;8872,64;40144446,00;107376,82
11/09/2019;Diesel;3169,35;15,67;8865,83;28224860,00;110385,93
12/09/2019;Diesel;3804,39;15,83;8848,40;33779404,00;107562,73
13/09/2019;Diesel;3750,15;16,62;8906,29;33473976,00;111858,50
14/09/2019;Diesel;3364,19;14,92;8891,42;29953381,00;107529,43
15/09/2019;Diesel;750,89;32,60;8872,60;6690108,00;152242,74
16/09/2019;Diesel;2811,43;14,75;8878,67;24934301,00;101449,37
17/09/2019;Diesel;3698,30;16,02;8982,52;33162918,00;120465,12
18/09/2019;Diesel;3177,45;15,31;8989,16;28444678,00;120680,97
19/09/2019;Diesel;3948,92;16,33;8979,95;35320441,00;113655,99
20/09/2019;Diesel;3665,09;16,23;9006,11;32949619,00;108398,18
21/09/2019;Diesel;3432,02;15,41;8971,81;30777167,00;112454,06
22/09/2019;Diesel;265,53;22,13;8639,17;2288274,00;158944,75
23/09/2019;Diesel;3114,03;15,94;8974,50;27887860,00;103889,96
24/09/2019;Diesel;3339,94;15,12;8969,47;29914151,00;117618,70
25/09/2019;Diesel;3247,15;14,63;8963,74;29098013,00;95635,46
26/09/2019;Diesel;3868,55;16,46;8985,48;34745371,00;124168,54
27/09/2019;Diesel;3466,72;16,46;8970,15;31076335,00;104813,30
28/09/2019;Diesel;3732,64;17,75;8980,48;33421540,00;109058,61
29/09/2019;Diesel;481,18;18,51;8986,77;4334177,00;101031,50
